paiment_id,acct_nbr,userid_nbr,payment_type_code,amt_12,conference_nbr,creditdebit_indx,debit_fi_acct_nbr,debit_fi_branch_nbr,debit_fi_nbr,filing_userid,mbr_fi_nbr,payment_on_acct,recipient_id,revenue_expense_transit_nbr,status_cd
'350011', '123456782RT0010', '41068070', '34','47956375.45','350011', 'D', '5200122', '22202', '4', '41068070', '4', 'Y', '34', '22202', 'A',11:59:59
'350012', '787878784RP0001', '41068071', '11','94644725.84','350012', 'D', '5200122', '22202', '4', '41068071', '4', 'Y', '34', '22202', 'A',11:59:59
'350013', '123456782RP0011', '41068071', '12','5462737.36','350013', 'D', '5200122', '22202', '4', '41068071', '4', 'Y', '34', '22202', 'A',11:59:59
'350014', '111111111RD1111', '41068071', '22','21234876.51','350014', 'D', '5200122', '22202', '4', '41068071', '4', 'Y', '34', '22202', 'A',11:59:59
'350015', '123456782RT0010', '41068071', '34','73088311.22','350015', 'D', '5200122', '22202', '4', '41068071', '4', 'Y', '34', '22202', 'A',11:59:59
'350016', '787878784RP0001', '41068072', '11','24426238.02','350016', 'D', '305157', '22202', '4', '41068072', '4', 'Y', '34', '22202', 'A',11:59:59
'350017', '123456782RP0011', '41068072', '12','96919101.84','350017', 'D', '305157', '22202', '4', '41068072', '4', 'Y', '34', '22202', 'A',11:59:59
'350018', '111111111RD1111', '41068072', '22','85089549.34','350018', 'D', '305157', '22202', '4', '41068072', '4', 'Y', '34', '22202', 'A',11:59:59
'350019', '123456782RT0010', '41068072', '34','53922186.63','350019', 'D', '305157', '22202', '4', '41068072', '4', 'Y', '34', '22202', 'A',12:00:00
'350020', '787878784RP0001', '41068073', '11','37082610.52','350020', 'D', '305157', '22202', '4', '41068073', '4', 'Y', '34', '22202', 'A',12:00:00
'350021', '123456782RP0011', '41068073', '12','91870828.66','350021', 'D', '305157', '22202', '4', '41068073', '4', 'Y', '34', '22202', 'A',12:00:00
'350022', '111111111RD1111', '41068073', '22','86989643.12','350022', 'D', '305157', '22202', '4', '41068073', '4', 'Y', '34', '22202', 'A',12:00:00
'350023', '123456782RT0010', '41068073', '34','65005573.54','350023', 'D', '305157', '22202', '4', '41068073', '4', 'Y', '34', '22202', 'A',12:00:00
'350024', '787878784RP0001', '41068074', '11','29687398.85','350024', 'D', '5200122', '22202', '4', '41068074', '4', 'Y', '34', '22202', 'A',12:00:00
'350025', '123456782RP0011', '41068074', '12','82381625.26','350025', 'D', '5200122', '22202', '4', '41068074', '4', 'Y', '34', '22202', 'A',12:00:00
'350026', '111111111RD1111', '41068074', '22','82153415.35','350026', 'D', '5200122', '22202', '4', '41068074', '4', 'Y', '34', '22202', 'A',12:00:00
'350027', '123456782RT0010', '41068074', '34','55878718.82','350027', 'D', '5200122', '22202', '4', '41068074', '4', 'Y', '34', '22202', 'A',12:00:00
'350028', '787878784RP0001', '41068075', '11','77265038.52','350028', 'D', '308817', '10202', '4', '41068075', '4', 'Y', '34', '10202', 'A',12:00:00
'350029', '123456782RP0011', '41068075', '12','58006916.04','350029', 'D', '308817', '10202', '4', '41068075', '4', 'Y', '34', '10202', 'A',23:59:59
'350030', '111111111RD1111', '41068075', '22','73062013.02','350030', 'D', '308817', '10202', '4', '41068075', '4', 'Y', '34', '10202', 'A',23:59:59
'350031', '123456782RT0010', '41068075', '34','74465062.04','350031', 'D', '308817', '10202', '4', '41068075', '4', 'Y', '34', '10202', 'A',23:59:59
'350032', '787878784RP0001', '41068076', '11','37251805.12','350032', 'D', '308817', '10202', '4', '41068076', '4', 'Y', '34', '10202', 'A',23:59:59
'350033', '123456782RP0011', '41068076', '12','12995972.88','350033', 'D', '308817', '10202', '4', '41068076', '4', 'Y', '34', '10202', 'A',23:59:59
'350034', '111111111RD1111', '41068076', '22','71879469.12','350034', 'D', '308817', '10202', '4', '41068076', '4', 'Y', '34', '10202', 'A',23:59:59
'350035', '123456782RT0010', '41068076', '34','35093792.78','350035', 'D', '308817', '10202', '4', '41068076', '4', 'Y', '34', '10202', 'A',23:59:59
'350036', '787878784RP0001', '41068077', '11','98379008.98','350036', 'D', '5003065', '12', '4', '41068077', '4', 'Y', '34', '22202', 'A',23:59:59
'350037', '123456782RP0011', '41068077', '12','38777028.82','350037', 'D', '5003065', '12', '4', '41068077', '4', 'Y', '34', '22202', 'A',23:59:59
'350038', '111111111RD1111', '41068077', '22','42049874.21','350038', 'D', '5003065', '12', '4', '41068077', '4', 'Y', '34', '22202', 'A',23:59:59
'350039', '123456782RT0010', '41068077', '34','93730771.43','350039', 'D', '5003065', '12', '4', '41068077', '4', 'Y', '34', '22202', 'A',23:59:59
